Date,Adj Close,Date,Adj Close
3/10/2014,4334.450195,3/10/2014,24.870001
3/11/2014,4307.189941,3/11/2014,25.450001
3/12/2014,4323.330078,3/12/2014,24.9
3/13/2014,4260.419922,3/13/2014,23.5
3/14/2014,4245.399902,3/14/2014,23.59
3/17/2014,4279.950195,3/17/2014,23.889999
3/18/2014,4333.310059,3/18/2014,24.129999
3/19/2014,4307.600098,3/19/2014,25.58
3/20/2014,4319.290039,3/20/2014,25.99
3/21/2014,4276.790039,3/21/2014,25.6
3/24/2014,4226.390137,3/24/2014,25.780001
3/25/2014,4234.27002,3/25/2014,23.93
3/26/2014,4173.580078,3/26/2014,24.17
3/27/2014,4151.22998,3/27/2014,24.41
3/28/2014,4155.759766,3/28/2014,24.860001
3/31/2014,4198.990234,3/31/2014,27.08
4/1/2014,4268.040039,4/1/2014,26.16
4/2/2014,4276.459961,4/2/2014,27.09
4/3/2014,4237.740234,4/3/2014,26.01
4/4/2014,4127.72998,4/4/2014,25.950001
4/7/2014,4079.75,4/7/2014,26.049999
4/8/2014,4112.990234,4/8/2014,26.59
4/9/2014,4183.899902,4/9/2014,26.780001
4/10/2014,4054.110107,4/10/2014,25.309999
4/11/2014,3999.72998,4/11/2014,23.98
4/14/2014,4022.689941,4/14/2014,23.809999
4/15/2014,4034.159912,4/15/2014,22.93
4/16/2014,4086.22998,4/16/2014,22.51
4/17/2014,4095.52002,4/17/2014,22.85
4/21/2014,4121.549805,4/21/2014,22.57
4/22/2014,4161.459961,4/22/2014,22.879999
